,Mandalay-11,"Meiktila, Mahlaing",မကွေး-11,"မြိုင်, ပေါက်",Shadaw,Shadaw,လောင်းလုံးမဲဆန္ဒနယ်,လောင်းလုံးမြို့နယ်
,Mandalay-12,"Thazi, Wundwin",မကွေး-12,"ဂန့်ဂေါ, ဆော, ထီးလင်း",Loikaw,Loikaw,သရက်ချောင်းမဲဆန္ဒနယ်,သရက်ချောင်းမြို့နယ်
,Mandalay-2,"Chanmyathazi, Pyigyidagun, Mahaaungmye, Amarapura",မကွေး-2,"ရေနံချောင်း, ချောက်",Kyainseikgyi,Kyainseikgyi,ဇမ္ဗူသီရိမဲဆန္ဒနယ်,ဇမ္ဗူသီရိမြို့နယ်
,Mandalay-3,"Madaya, Mogok, Pyinoolwin, Singu, Thabeikkyin",မကွေး-3,"နတ်မောက်, မြို့သစ်",Kawkareik,Kawkareik,ဇေယျာသီရိမဲဆန္ဒနယ်,ဇေယျာသီရိမြို့နယ်
,Mandalay-4,"Kyaukse, Myittha, Sintgaing, Tada-U ",မကွေး-4,တောင်တွင်းကြီး,Hpapun,Hpapun,တပ်ကုန်းမဲဆန္ဒနယ်,တပ်ကုန်းမြို့နယ်
,Mandalay-5,"Myingyan, Nganzun",မကွေး-5,"မင်းဘူး, ပွင့်ဖြူ",Hpa-An,Hpa-An,ဒက္ခိဏသီရိမဲဆန္ဒနယ်,ဒက္ခိဏသီရိမြို့နယ်
,Mandalay-6,"Natogyi, Thaungtha",မကွေး-6,"စလင်း, စေတုတ္တရာ, ငဖဲ",Myawaddy,Myawaddy,ပျဥ်းမနားမဲဆန္ဒနယ်,ပျဥ်းမနားမြို့နယ်
,Mandalay-7,"Nyaung-U, Kyaukpadaung",မကွေး-7,"သရက်, ကံမ, မင်းတုန်း, မင်းလှ",Hlaingbwe,Hlaingbwe,ပုဗ္ဗသီရိမဲဆန္ဒနယ်,ပုဗ္ဗသီရိမြို့နယ်
,Mandalay-8,"Pyawbwe, Yamethin",မကွေး-8,"အောင်လံ, ဆင်ပေါင်ဝဲ",Thandaunggyi,Thandaunggyi,လယ်ဝေးမဲဆန္ဒနယ်,လယ်ဝေးမြို့နယ်
,Mandalay-9,"Ottarathiri, Pobbathiri, Zeyarthiri, Tatkon",မကွေး-9,"ပခုက္ကူ, ဆိပ်ဖြူ",Kamma,Kamma,ဥတ္တရသီရိမဲဆန္ဒနယ်,ဥတ္တရသီရိမြို့နယ်
