popit_id,township_en,township_mm,state,constituency_pyithu,constituency_amyotha
,Kayan,ခရမ်းမဲဆန္ဒနယ်,Yangon,Kayan,Yangon-7
,Kengtung,ကျိုင်းတုံမဲဆန္ဒနယ်,Shan,Kengtung,Shan-6
,Khaunglanhpu,ခေါင်လန်ဖူးမဲဆန္ဒနယ်,Kachin,Khaunglanhpu,Kachin-1
,Khin-U,ခင်ဦးမဲဆန္ဒနယ်,Sagaing,Khin-U,Sagaing-2
,Konkyan,ကုန်းကြမ်းမဲဆန္ဒနယ်,Shan,Konkyan,Shan-11
,Kungyangon,ကွမ်းခြံကုန်းမဲဆန္ဒနယ်,Yangon,Kungyangon,Yangon-8
,Kunhing,ကွန်ဟိန်းမဲဆန္ဒနယ်,Shan,Kunhing,Shan-2
,Kunlong,ကွမ်းလုံမဲဆန္ဒနယ်,Shan,Kunlong,Shan-3
,Kutkai,ကွတ်ခိုင်မဲဆန္ဒနယ်,Shan,Kutkai,Shan-5
,Kyaiklat,ကျိုက်လတ်မဲဆန္ဒနယ်,Ayeyawaddy,Kyaiklat,Ayeyawaddy-11
,Kyaikmaraw,ကျိုက်မရောမဲဆန္ဒနယ်,Mon,Kyaikmaraw,Mon-3
,Kyaikto,ကျိုက်ထိုမဲဆန္ဒနယ်,Mon,Kyaikto,Mon-11
,Kyainseikgyi,ကြာအင်းဆိပ်ကြီးမဲဆန္ဒနယ်,Kayin,Kyainseikgyi,"Kayin-11, Kayin-12"
,Kyangin,ကြံခင်းမဲဆန္ဒနယ်,Ayeyawaddy,Kyangin,Ayeyawaddy-5
,Kyaukkyi,ကျောက်ကြီးမဲဆန္ဒနယ်,Bago,Kyaukkyi,Bago-7
,Kyaukme,ကျောက်မဲမဲဆန္ဒနယ်,Shan,Kyaukme,Shan-4
,Kyaukpadaung,ကျောက်ပန်းတောင်းမဲဆန္ဒနယ်,Mandalay,Kyaukpadaung,Mandalay-7
,Kyaukpyu,ကျောက်ဖြူမဲဆန္ဒနယ်,Rakhine,Kyaukpyu,Rakhine-10
,Kyaukse,ကျောက်ဆည်မဲဆန္ဒနယ်,Mandalay,Kyaukse,Mandalay-4
,Kyauktada,ကျောက်တံတားမဲဆန္ဒနယ်,Yangon,Kyauktada,Yangon-5
,Kyauktaga,ကျောက်တံခါးမဲဆန္ဒနယ်,Bago,Kyauktaga,Bago-4
,Kyauktan,ကျောက်တန်းမဲဆန္ဒနယ်,Yangon,Kyauktan,Yangon-7
,Kyauktaw,ကျောက်တော်မဲဆန္ဒနယ်,Rakhine,Kyauktaw,Rakhine-5
,Kyaunggon,ကျောင်းကုန်းမဲဆန္ဒနယ်,Ayeyawaddy,Kyaunggon,Ayeyawaddy-2
,Kyeemyindaing,ကြည့်မြင်တိုင်မဲဆန္ဒနယ်,Yangon,Kyeemyindaing,Yangon-6
,Kyethi,ကျေးသီးမဲဆန္ဒနယ်,Shan,Kyethi,Shan-2
,Kyonpyaw,ကျုံပျော်မဲဆန္ဒနယ်,Ayeyawaddy,Kyonpyaw,Ayeyawaddy-3
,Kyunhla,ကျွန်းလှမဲဆန္ဒနယ်,Sagaing,Kyunhla,Sagaing-3
,Kyunsu,ကျွန်းစုမဲဆန္ဒနယ်,Tanintharyi,Kyunsu,"Taninthayi-7, Taninthayi-8"
,Labutta,လပွတ္တာမဲဆန္ဒနယ်,Ayeyawaddy,Labutta,Ayeyawaddy-12
,Lahe,လဟယ်မဲဆန္ဒနယ်,Sagaing,Lahe,Sagaing-12
